"policy_state","age_group","incident_type","claim_cases","total_claim_amount","average_claim_amount","average_loss_ratio","fraud_rate"
"IL","50-59","Multi-vehicle Collision",17,1120030,1120030,63.0663788729652,0.294117647058824
"IN","40-49","Single Vehicle Collision",37,2545100,2545100,59.1509785858388,0.243243243243243
"OH","50-59","Multi-vehicle Collision",17,1156520,1156520,57.2913887641147,0.117647058823529
"IL","50-59","Single Vehicle Collision",10,649460,649460,57.1749547841985,0.3
"IN","Under 30","Multi-vehicle Collision",21,1302330,1302330,56.0830204682234,0.285714285714286
"IN","30-39","Single Vehicle Collision",56,3607710,3607710,56.0781817972549,0.303571428571429
"IN","50-59","Single Vehicle Collision",11,794610,794610,54.5813088182449,0.454545454545455
"OH","30-39","Single Vehicle Collision",50,3147490,3147490,54.5682501591686,0.24
"IN","Under 30","Single Vehicle Collision",17,1101040,1101040,53.6571649431963,0.294117647058824
"OH","Under 30","Multi-vehicle Collision",29,1863840,1863840,52.7755237856352,0.275862068965517
"OH","50-59","Single Vehicle Collision",17,1100900,1100900,52.0625803253183,0.470588235294118
"IN","30-39","Multi-vehicle Collision",47,2870530,2870530,51.8615628067909,0.297872340425532
"IL","40-49","Single Vehicle Collision",40,2612160,2612160,51.2998950566712,0.175
"IL","30-39","Multi-vehicle Collision",61,3750540,3750540,51.2069608179916,0.229508196721311
"OH","40-49","Multi-vehicle Collision",38,2449310,2449310,51.1914000801184,0.394736842105263
"IL","Under 30","Multi-vehicle Collision",19,1137060,1137060,50.8901329123799,0.263157894736842
"IL","40-49","Multi-vehicle Collision",54,3311980,3311980,50.8537989365873,0.240740740740741
"IL","30-39","Single Vehicle Collision",56,3560130,3560130,50.29111937855,0.303571428571429
"IL","Under 30","Single Vehicle Collision",16,1015300,1015300,49.962369929681,0.4375
"OH","Under 30","Single Vehicle Collision",24,1473380,1473380,49.668269849667,0.291666666666667
"OH","40-49","Single Vehicle Collision",54,3372450,3372450,49.5072444602495,0.277777777777778
"IN","50-59","Multi-vehicle Collision",15,921560,921560,49.0114922036433,0.266666666666667
"IN","40-49","Multi-vehicle Collision",37,2238560,2238560,48.9774162029368,0.27027027027027
"OH","30-39","Multi-vehicle Collision",54,3012030,3012030,46.1809367660481,0.277777777777778
"OH","40-49","Parked Car",12,66250,66250,5.07750500396062,0.166666666666667
"IN","30-39","Vehicle Theft",17,101820,101820,4.7914754123909,0.235294117647059
"OH","30-39","Vehicle Theft",15,82270,82270,4.52546962471444,0
"IL","40-49","Vehicle Theft",16,85370,85370,4.41041377046635,0
"IN","30-39","Parked Car",20,105890,105890,4.21259075868714,0.05
"OH","40-49","Vehicle Theft",10,48470,48470,3.88212038740547,0
