"policy_state","age_group","incident_type","policies","claims","claim_frequency","loss_ratio","fraud_rate"
"IN","Under 30","Single Vehicle Collision",42,17,0.404761904761905,21.5748817147665,0.119047619047619
"IN","50-59","Single Vehicle Collision",28,11,0.392857142857143,20.6303309820522,0.178571428571429
"IN","Under 30","Multi-vehicle Collision",61,21,0.344262295081967,19.5167779280712,0.0983606557377049
"OH","50-59","Multi-vehicle Collision",47,17,0.361702127659574,19.1883334295637,0.0425531914893617
"OH","50-59","Single Vehicle Collision",47,17,0.361702127659574,18.001186452983,0.170212765957447
"IL","50-59","Single Vehicle Collision",31,10,0.32258064516129,17.8333714094915,0.0967741935483871
"OH","Under 30","Multi-vehicle Collision",81,29,0.358024691358025,17.769076369161,0.0987654320987654
"IL","Under 30","Multi-vehicle Collision",52,19,0.365384615384615,17.7494730854449,0.0961538461538462
"IN","30-39","Multi-vehicle Collision",133,47,0.353383458646617,17.6041755527319,0.105263157894737
"OH","30-39","Single Vehicle Collision",149,50,0.335570469798658,17.5352858706374,0.0805369127516778
"OH","Under 30","Single Vehicle Collision",66,24,0.363636363636364,17.4625691611394,0.106060606060606
"IN","40-49","Single Vehicle Collision",114,37,0.324561403508772,17.2641243478216,0.0789473684210526
"IL","40-49","Single Vehicle Collision",117,40,0.341880341880342,17.2572052676969,0.0598290598290598
"IL","30-39","Multi-vehicle Collision",175,61,0.348571428571429,17.1860253649374,0.08
"IN","30-39","Single Vehicle Collision",170,56,0.329411764705882,17.1705054017193,0.1
"IN","40-49","Multi-vehicle Collision",105,37,0.352380952380952,16.540479160811,0.0952380952380952
"IL","40-49","Multi-vehicle Collision",167,54,0.323353293413174,15.7390944215931,0.0778443113772455
"OH","40-49","Multi-vehicle Collision",123,38,0.308943089430894,15.7180857037429,0.121951219512195
"IL","30-39","Single Vehicle Collision",173,56,0.323699421965318,15.3400083487963,0.0982658959537572
"OH","40-49","Single Vehicle Collision",174,54,0.310344827586207,14.8266724206879,0.0862068965517241
"OH","30-39","Multi-vehicle Collision",162,54,0.333333333333333,14.6140864319505,0.0925925925925926
"IN","50-59","Multi-vehicle Collision",53,15,0.283018867924528,13.9729913521685,0.0754716981132075
"IL","Under 30","Single Vehicle Collision",54,16,0.296296296296296,13.9050476843295,0.12962962962963
"IL","50-59","Multi-vehicle Collision",70,17,0.242857142857143,13.6650583811781,0.0714285714285714
"OH","40-49","Parked Car",31,12,0.387096774193548,1.75907963891206,0.0645161290322581
"OH","30-39","Vehicle Theft",41,15,0.365853658536585,1.69297252803786,0
"IN","30-39","Vehicle Theft",49,17,0.346938775510204,1.57384578073463,0.0816326530612245
"IN","40-49","Vehicle Theft",23,8,0.347826086956522,1.42402691208461,0.0434782608695652
"IL","40-49","Vehicle Theft",50,16,0.32,1.3621437017727,0
"OH","40-49","Vehicle Theft",27,10,0.37037037037037,1.32815843858767,0
"IN","30-39","Parked Car",64,20,0.3125,1.29872439483724,0.015625
"IL","Under 30","Vehicle Theft",30,8,0.266666666666667,1.29451445697425,0.0333333333333333
"OH","30-39","Parked Car",32,9,0.28125,1.05546062306376,0.0625
"IL","30-39","Parked Car",31,9,0.290322580645161,1.04627712854758,0
"IL","30-39","Vehicle Theft",21,6,0.285714285714286,0.99389122508021,0
